noun,similarity
narc,0.775
rocker,0.775
civilian,0.775
symons,0.775
moon_curser,0.775
mind-altering_drug,0.775
spick,0.775
paries,0.775
catholic,0.775
buchner,0.775
carrere,0.775
captain,0.7744
assaulter,0.7744
john_rowlands,0.7744
everyman,0.7744
ant_bear,0.7744
vladimir_putin,0.7744
abila,0.7744
hoagie,0.7744
khalif,0.7744
bronc,0.7744
force,0.7744
mac,0.7744
sharer,0.7744
portrayal,0.7744
royal,0.7744
sweetheart,0.7744
bacon,0.7744
common_person,0.7744
shakespearian,0.7744
damon,0.7744
resid,0.7744
gill,0.7744
commie,0.7744
chief_executive_officer,0.7744
manic-depressive,0.7744
adulterer,0.7744
entire,0.7744
kennedy,0.7744
stemmer,0.7744
scag,0.7744
soman,0.7744
marks,0.7744
piggy,0.7744
biggin,0.774
twiner,0.774
guest_of_honor,0.774
riesman,0.774
woof,0.774
zaman,0.774
jocote,0.774
paunch,0.774
alternate,0.774
outside,0.774
edmund_malone,0.774
tusser,0.774
emile_herzog,0.774
nihilist,0.774
hopkinson,0.774
fechner,0.774
francois_jacob,0.774
item,0.774
cosy,0.774
young_man,0.774
owner,0.774
theist,0.774
lady_of_pleasure,0.774
forgetful_person,0.774
anouilh,0.774
zip,0.774
jane_doe,0.774
willis,0.774
never-never,0.774
smitane,0.774
farrell,0.774
newsman,0.774
feifer,0.774
nonsense,0.774
marine,0.774
ramrod,0.7734
sister,0.7734
tough,0.7734
spinner,0.7734
halley,0.7734
glenn_curtiss,0.7734
general,0.7734
bonce,0.7734
chintz,0.7734
marx,0.7734
maverick,0.7734
benni,0.7734
relation,0.7734
rutledge,0.7734
master,0.7734
goat,0.7734
chuck,0.7734
macho,0.7734
samuel_houston,0.7734
ben_jonson,0.7734
intumescence,0.7734
charles_william_post,0.7734
fancy_man,0.7734
sweat_suit,0.7734
ham,0.7734
dag,0.7734
styron,0.7734
frye,0.7734
squeaker,0.7734
