noun,similarity
plowman,0.743
nerd,0.743
hubel,0.743
brinton,0.743
ham_actor,0.743
spall,0.743
shim,0.743
dozer,0.743
kelt,0.743
life,0.743
delicious,0.743
fiancee,0.743
disney,0.743
speer,0.7427
swag,0.7427
stinter,0.7427
dud,0.7427
heartthrob,0.7427
moron,0.7427
simperer,0.7427
babe,0.7427
james_harvey_robinson,0.7427
ant_bear,0.7427
drey,0.7427
belch,0.7427
george_edward_moore,0.7427
foster-father,0.7427
schmo,0.7427
wearer,0.7427
homophile,0.7427
arguer,0.7427
dick,0.7427
uut,0.7427
hippie,0.7427
beloved,0.742
sam,0.742
swami,0.742
aaron_montgomery_ward,0.742
waster,0.742
hayes,0.742
quoter,0.742
inger,0.742
harold_nicolson,0.742
ginger,0.742
house_husband,0.742
cay,0.742
forgetful_person,0.742
balker,0.742
prof,0.742
property_owner,0.742
right,0.742
doughnut,0.742
cam,0.742
riesman,0.742
husbandman,0.742
kine,0.742
alb,0.742
emmer,0.742
compatriot,0.742
gillie,0.7417
jacobi,0.7417
sum,0.7417
influential_person,0.7417
iron_man,0.7417
toper,0.7417
whoreson,0.7417
food_turner,0.7417
shuck,0.7417
smitty_stevens,0.7417
smithy,0.7417
french_canadian,0.7417
trip,0.7417
sacco,0.7417
crack_addict,0.7417
genius,0.7417
archil,0.7417
nurser,0.7417
farmer,0.7417
master,0.7417
owner,0.7417
arthur_holmes,0.741
corespondent,0.741
moulter,0.741
deacon,0.741
stager,0.741
hudson_hoagland,0.741
descendent,0.741
slop,0.741
dog,0.741
hopeh,0.741
granter,0.741
waker,0.741
superman,0.741
thomson,0.741
commie,0.741
phil_anderson,0.741
german,0.741
austin_friar,0.741
rapper,0.741
requester,0.741
minter,0.741
queer_duck,0.741
nincompoop,0.741
kitty,0.741
hoyle,0.741
christopher_fry,0.741
huck,0.741
humour,0.741
employee,0.7407
common_person,0.7407
waffle,0.7407
woof,0.7407
better,0.7407
kriss_kringle,0.7407
rus,0.7407
dreck,0.7407
chicken,0.7407
wuss,0.7407
utterer,0.7407
schonberg,0.7407
sherlock,0.7407
plato,0.7407
monotheist,0.7407
dweeb,0.7407
timothy,0.7407
prince,0.7407
hoagie,0.7407
tole,0.7407
comedian,0.7407
chad,0.7407
dominie,0.7407
pappa,0.74
dragger,0.74
jesus_christ,0.74
domestic_partner,0.74
hawser,0.74
pussly,0.74
grandparent,0.74
ted,0.74
scuba,0.74
frier,0.74
buddhist,0.74
test,0.74
bestower,0.74
demigod,0.74
cropper,0.74
milcher,0.74
a._e._w._mason,0.74
lucifer,0.74
shmo,0.74
joyce,0.74
big_businessman,0.74
liberalist,0.74
dogie,0.74
wister,0.74
fauces,0.74
girl,0.74
married_person,0.74
inh,0.74
muslim,0.74
uuh,0.7397
crupper,0.7397
marl,0.7397
musher,0.7397
landman,0.7397
bohme,0.7397
horse,0.7397
jewison,0.7397
taxman,0.7397
photographic_material,0.7397
codger,0.7397
way,0.7397
carl_david_anderson,0.7397
denizen,0.7397
hone,0.7397
slammer,0.7397
housedog,0.7397
holidaymaker,0.7397
sissy,0.7393
doc,0.7393
jesus_of_nazareth,0.7393
james_george_frazer,0.7393
ape-man,0.7393
lenard,0.7393
item,0.7393
stupe,0.7393
limner,0.7393
des,0.7393
elam,0.7393
honky,0.7393
humankind,0.7393
haley,0.7393
reagan,0.7393
stepbrother,0.7393
king_william_pine,0.7393
james_iv,0.7393
mum,0.7393
eldest,0.7393
police_chief,0.7393
james_jerome_hill,0.7393
fellow_member,0.7393
prefect,0.7393
hazel,0.7393
nathan_hale,0.7393
bruce,0.739
peanut,0.739
flatmate,0.739
content,0.739
chyle,0.739
apar,0.739
jesse_james,0.739
mama,0.739
william_benjamin_hogan,0.739
tine,0.739
karl_adolph_verner,0.739
eric_arthur_blair,0.739
twitterer,0.739
cager,0.739
heaver,0.7383
aussie,0.7383
gregory_pincus,0.7383
haw,0.7383
big_toe,0.7383
cunner,0.7383
washington,0.7383
smitane,0.7383
negro,0.7383
jacob,0.7383
smalley,0.7383
babinski,0.7383
thomas_wright_waller,0.7383
wold,0.7383
granddaddy,0.7383
charles_grey,0.7383
pistol,0.7383
girlfriend,0.7383
bonce,0.7383
grandaunt,0.7383
claw_hammer,0.7383
cousin,0.7383
mummer,0.7383
world,0.7383
joseph_oliver,0.7383
huggins,0.7383
quack,0.7383
aril,0.738
dingo,0.738
frye,0.738
emptor,0.738
bull,0.738
old_geezer,0.738
gangster,0.738
mule,0.738
grunter,0.738
shammer,0.738
samuel_houston,0.738
housekeeper,0.738
hilary_clinton,0.738
landscape,0.738
edmond_hoyle,0.738
hock,0.738
homeless_person,0.738
political_leader,0.738
slogger,0.738
schoolmate,0.738
clon,0.738
horne,0.738
styron,0.7373
tare,0.7373
styler,0.7373
creature,0.7373
bender,0.7373
donne,0.7373
craigie,0.7373
hussy,0.7373
gad,0.7373
theodore_samuel_williams,0.7373
penguin,0.7373
brier,0.7373
fox,0.7373
henry_sweet,0.7373
paling,0.7373
martin,0.7373
honkie,0.7373
thomas_nelson_page,0.7373
crud,0.7373
algin,0.7373
baby,0.7373
body,0.7373
frisch,0.7373
criminal,0.7373
aaron,0.7373
lugger,0.7373
motorist,0.7373
buffoon,0.7373
spock,0.7373
xavier,0.7373
dainty,0.7373
thompson,0.7373
tamm,0.7373
helm,0.7373
papist,0.7373
dylan,0.7373
dibble,0.7373
electronic_image,0.737
eugene_sue,0.737
portrait,0.737
ex-spouse,0.737
nast,0.737
dika,0.737
hotdog,0.737
lover,0.737
einstein,0.737
cat,0.737
first,0.737
vulgarizer,0.737
dwarf,0.737
spurner,0.737
gramma,0.737
matthew,0.737
softie,0.737
feces,0.737
short,0.737
sial,0.737
pensioner,0.737
pall,0.737
object,0.737
sir_james_murray,0.7363
john_florio,0.7363
benjamin_franklin,0.7363
gay_man,0.7363
alexander_selcraig,0.7363
daniel_jones,0.7363
gaspar,0.7363
detumescence,0.7363
hewer,0.7363
hemin,0.7363
simian,0.7363
ruddle,0.7363
colonizer,0.7363
herod,0.7363
will_hays,0.7363
elihu_thomson,0.7363
wolf,0.7363
chief,0.7363
heterosexual_person,0.7363
james_thomas_harris,0.7363
abbe,0.7363
wolverine,0.7363
lipmann,0.7363
potato,0.7363
sister,0.7363
thomas_crawford,0.7363
carrere,0.7363
mayor,0.7363
chamfer,0.7363
old_person,0.7363
rupert_murdoch,0.7363
missis,0.7363
holy,0.7363
merl,0.7363
charles_herbert_best,0.7363
small_person,0.7363
rat,0.7363
jakes,0.736
woman,0.736
fish,0.736
planer,0.736
eponymy,0.736
lye,0.736
gay,0.736
jarrell,0.736
deceased,0.736
greco,0.736
god,0.736
james,0.736
nobel,0.736
darnel,0.736
transport,0.736
important_person,0.736
artiste,0.736
moose,0.736
ape,0.736
deadbeat_dad,0.736
hitchings,0.736
cadger,0.736
male_person,0.736
expatriate,0.736
tipster,0.736
burns,0.736
swilling,0.736
lawyer,0.736
prima,0.736
charles_henry_harrod,0.736
andrew,0.736
stemmer,0.736
beecher,0.736
john_ciardi,0.7354
best_friend,0.7354
james_scott_connors,0.7354
nad,0.7354
witnesser,0.7354
leroy_robert_paige,0.7354
sumer,0.7354
buchner,0.7354
swine,0.7354
mailman,0.7354
sinner,0.7354
tuna,0.7354
rip,0.7354
furrier,0.7354
clever_dick,0.7354
dirty_old_man,0.7354
a._a._michelson,0.7354
aunt,0.7354
george_iii,0.7354
customer,0.7354
jean,0.7354
snore,0.7354
james_matthew_barrie,0.7354
civilian,0.7354
hagiographist,0.7354
nit,0.7354
moreen,0.7354
holibut,0.7354
fucking,0.7354
liberal,0.7354
wooer,0.735
snuff,0.735
limper,0.735
married_man,0.735
jfk,0.735
wagerer,0.735
john_berry_hobbs,0.735
monkey_dog,0.735
biped,0.735
wagoner,0.735
jowett,0.735
brim,0.735
szilard,0.735
housemate,0.735
braggart,0.735
arnold_daniel_palmer,0.735
fred_skinner,0.735
police_sergeant,0.735
spinner,0.735
sartor,0.735
hip,0.735
dean,0.735
drunk,0.735
phoney,0.735
misogynist,0.735
edward,0.735
easter_bunny,0.735
granny,0.735
beard,0.735
hamster,0.735
borer,0.735
dowser,0.735
simon_peter,0.735
bug,0.735
paretic,0.735
drug_baron,0.735
abraham_lincoln,0.735
story,0.7344
emile_herzog,0.7344
farting,0.7344
poor_fish,0.7344
bema,0.7344
james_hogg,0.7344
thomas_willis,0.7344
answerer,0.7344
nosher,0.7344
trimmer,0.7344
tater,0.7344
general,0.7344
deputy,0.7344
george,0.7344
worm,0.7344
currier,0.7344
father_christmas,0.7344
devil,0.7344
headman,0.7344
ethyl,0.7344
philemon,0.7344
dueller,0.7344
pooch,0.7344
professor,0.7344
truman,0.7344
strafer,0.734
v.p.,0.734
hippo,0.734
hamburger,0.734
adam,0.734
watt,0.734
love,0.734
cow,0.734
depicted_object,0.734
non-jew,0.734
canadian,0.734
kelly,0.734
nahum,0.734
portrayal,0.734
big_brother,0.734
a._a._milne,0.734
floyd_bennett,0.734
horace,0.734
nugget,0.734
crazy,0.734
gallous,0.734
drug_user,0.734
hermaphrodite,0.734
walter_william_skeat,0.734
ducky,0.734
thill,0.734
thomas_gray,0.734
principal,0.734
bad_person,0.734
leader,0.734
sugar_daddy,0.734
putz,0.734
sumach,0.734
local,0.734
nihilist,0.734
hater,0.734
president_lincoln,0.734
kid,0.734
macho,0.734
bize,0.734
truster,0.7334
arnold,0.7334
monster,0.7334
yardman,0.7334
fogey,0.7334
cardiac_sphincter,0.7334
alpha_iron,0.7334
diva,0.7334
knuckles,0.7334
marcus_terentius_varro,0.7334
stanton,0.7334
character,0.7334
george_w._bush,0.7334
gringo,0.7334
catholic,0.7334
joseph,0.7334
abraham,0.7334
last,0.7334
chili_dog,0.7334
paries,0.7334
dog_do,0.7334
android,0.7334
george_washington,0.7334
john_tyler,0.7334
tully,0.7334
pauper,0.7334
thing,0.7334
dug,0.7334
epicene_person,0.7334
diesel,0.7334
ester,0.7334
car,0.7334
classic,0.7334
busman,0.7334
auto,0.7334
abetter,0.7334
truth,0.733
arna_wendell_bontemps,0.733
socialist,0.733
catholic_pope,0.733
lingerer,0.733
homeless,0.733
thomas_kyd,0.733
relation,0.733
g-man,0.733
lowlife,0.733
robert_mills,0.733
dammar,0.733
spiritual_leader,0.733
bear_cat,0.733
toucher,0.733
goof-off,0.733
msh,0.733
great_grandfather,0.733
stephen_michael_reich,0.733
thomas_jackson,0.733
tenter,0.733
portrayer,0.733
writer,0.733
canine,0.733
pee,0.733
yokel,0.733
melchior,0.733
sir_william_huggins,0.733
ramie,0.733
william_chambers,0.733
signer,0.733
indian,0.733
verner,0.733
frenchman,0.733
fat_farm,0.733
immigrant,0.733
southerner,0.733
romp,0.733
shimmy,0.733
weirdie,0.733
disarmer,0.733
ranter,0.733
doofus,0.733
schnorrer,0.7324
ulysses_simpson_grant,0.7324
frank_cooper,0.7324
pruner,0.7324
unpleasant_person,0.7324
john_james_osborne,0.7324
niggler,0.7324
academician,0.7324
gilmer,0.7324
harold_clayton_lloyd,0.7324
charles_dodgson,0.7324
feifer,0.7324
trophy_wife,0.7324
bister,0.7324
shem,0.7324
secernment,0.7324
